"dsc_situacao";"bsq_situacao";"inicia_execucao";"inicio_condicional";"hierarquia"
"Recebido";"38";"Não";"Não";""
"Recebido da câmara de conciliação/mediação";"131";"Não";"Não";""
"Recebido do CEJUSC ou do Centro de Conciliação/Mediação";"120";"Não";"Não";""
"Recebido pelo CEJUSC ou pelo Centro de Conciliação/Mediação";"119";"Não";"Não";""
"Recebido pelo Tribunal";"61";"Não";"Não";""
"Recurso interno admitido";"141";"Não";"Não";"Decisão proferida"
"Recurso interno iniciado";"39";"Não";"Não";""
"Recurso interno não admitido";"142";"Não";"Não";"Decisão proferida"
"Redistribuído";"40";"Não";"Sim";""
"Redistribuído para outro Tribunal";"154";"Não";"Não";""
"Remetido";"41";"Não";"Não";""
"Remetido ao distribuidor";"42";"Não";"Não";""
"Remetido para a câmara de conciliação/mediação";"130";"Não";"Não";""
"Remetido para o CEJUSC ou para o Centro de Conciliação/Mediação";"118";"Não";"Não";""
"Remetido para outra instância";"134";"Não";"Não";""
"Remetido pelo CEJUSC ou do Centro de Conciliação/Mediação";"153";"Não";"Não";""
"Revogada transação penal";"139";"Não";"Não";"Decisão proferida"
"Sessão do juri antecipada";"83";"Não";"Não";""
"Sessão do juri cancelada";"84";"Não";"Não";""
"Sessão do juri convertida em diligência";"85";"Não";"Não";""
"Sessão do juri designada";"43";"Não";"Não";""
"Sessão do juri não realizada";"86";"Não";"Não";""
"Sessão do juri realizada";"44";"Não";"Não";""
"Sessão do juri redesignada";"87";"Não";"Não";""
"Sessão Restaurativa antecipada";"146";"Não";"Não";""
"Sessão Restaurativa cancelada";"147";"Não";"Não";""
"Sessão Restaurativa convertida em diligência";"148";"Não";"Não";""
"Sessão Restaurativa designada";"149";"Não";"Não";""
"Sessão Restaurativa não realizada";"150";"Não";"Não";""
"Sessão Restaurativa realizada";"151";"Não";"Não";""
"Sessão Restaurativa redesignada";"152";"Não";"Não";""
"Supenso/Sobrestado por SIRDR";"128";"Não";"Não";""
"Vista solicitada";"51";"Não";"Não";""
"Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade";"92";"Não";"Não";"Decisão proferida"
"Suspenso/sobrestado  por Controvérsia";"93";"Não";"Não";"Decisão proferida"
"Suspenso/sobrestado por decisão judicial";"46";"Não";"Não";"Decisão proferida"
"Suspenso/sobrestado por despacho judicial";"45";"Não";"Não";"Despacho proferido"
"Suspenso/sobrestado por Grupo de Representativos";"94";"Não";"Não";"Decisão proferida"
"Suspenso/sobrestado por IAC";"95";"Não";"Não";"Decisão proferida"
"Voto vencedor publicado";"52";"Não";"Não";""
"Suspenso/Sobrestado por IRDR";"47";"Não";"Não";"Decisão proferida"
"Suspenso/sobrestado por prejudicialidade de RE";"144";"Não";"Não";"Decisão proferida"
"Suspenso/sobrestado por Recurso de Revista Repetitiva";"96";"Não";"Não";"Decisão proferida"
"Suspenso/sobrestado por Recurso Repetitivo";"48";"Não";"Não";"Decisão proferida"
"Suspenso/sobrestado por Repercussão Geral";"49";"Não";"Não";"Decisão proferida"
"Tramitando";"25";"Não";"Não";""
"Transação penal cumprida";"129";"Não";"Sim";"Julgado com resolução do mérito"
"Transitado em julgado";"50";"Não";"Não";""
"Migração de Sistema";"155";"Não";"Não";""
"Classe processual evoluída";"156";"Não";"Não";""
"Julgado sem resolução do mérito";"28";"Não";"Sim";"Julgado"
