"bsq_situacao_finalizada";"bsq_situacao_por";"finalizada_por"
"4";"72";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"4";"37";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"4";"154";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"4";"41";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"4";"129";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"5";"2";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Audiência conciliatória antecipada (73)
Audiência conciliatória cancelada (70)
Audiência conciliatória convertida em diligência (74)
Audiência conciliatória designada (5)
Audiência conciliatória não realizada (75)
Audiência conciliatória realizada (6)
Audiência conciliatória redesignada (76)
Baixado definitivamente (10)
Distribuição cancelada (23)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)"
"5";"4";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Audiência conciliatória antecipada (73)
Audiência conciliatória cancelada (70)
Audiência conciliatória convertida em diligência (74)
Audiência conciliatória designada (5)
Audiência conciliatória não realizada (75)
Audiência conciliatória realizada (6)
Audiência conciliatória redesignada (76)
Baixado definitivamente (10)
Distribuição cancelada (23)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)"
"5";"73";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Audiência conciliatória antecipada (73)
Audiência conciliatória cancelada (70)
Audiência conciliatória convertida em diligência (74)
Audiência conciliatória designada (5)
Audiência conciliatória não realizada (75)
Audiência conciliatória realizada (6)
Audiência conciliatória redesignada (76)
Baixado definitivamente (10)
Distribuição cancelada (23)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)"
"5";"70";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Audiência conciliatória antecipada (73)
Audiência conciliatória cancelada (70)
Audiência conciliatória convertida em diligência (74)
Audiência conciliatória designada (5)
Audiência conciliatória não realizada (75)
Audiência conciliatória realizada (6)
Audiência conciliatória redesignada (76)
Baixado definitivamente (10)
Distribuição cancelada (23)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)"
"5";"74";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Audiência conciliatória antecipada (73)
Audiência conciliatória cancelada (70)
Audiência conciliatória convertida em diligência (74)
Audiência conciliatória designada (5)
Audiência conciliatória não realizada (75)
Audiência conciliatória realizada (6)
Audiência conciliatória redesignada (76)
Baixado definitivamente (10)
Distribuição cancelada (23)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Supenso/Sobrestado por SIRDR (128)
Suspenso/sobrestado  por Ação de Controle Concentrado de Constitucionalidade (92)
Suspenso/sobrestado  por Controvérsia (93)
Suspenso/sobrestado por decisão judicial (46)
Suspenso/sobrestado por despacho judicial (45)
Suspenso/sobrestado por Grupo de Representativos (94)
Suspenso/sobrestado por IAC (95)
Suspenso/Sobrestado por IRDR (47)
Suspenso/sobrestado por prejudicialidade de RE (144)
Suspenso/sobrestado por Recurso de Revista Repetitiva (96)
Suspenso/sobrestado por Recurso Repetitivo (48)
Suspenso/sobrestado por Repercussão Geral (49)"
